% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'corpX','signals','its','in','handicapped','workers','NP','VBZ','PPX','IN','JJ','NNS','interest1'
'up','on','pushing','rates','down','X','IN','IN','VBG','NNS','RP','X','interest6'
'mrX','sperandeo','expects','rates','to','rise','NP','NP','VBZ','NNS','TO','VB','interest6'
'148','million','its','in','several','oil','AB','AB','PPX','IN','JJ','NN','interest5'
'15X7','%','working','in','the','hartzog','AB','NN','VBG','IN','DT','NP','interest5'
'the','company','an','in','2X100','oil','DT','NN','DT','IN','AB','NN','interest5'
'6X5','million','of','payments','due','shortly','AB','AB','IN','NNS','JJ','RB','interest6'
'X','british','thread','could','be','antiXcompetitive','POS','JJ','NN','MD','VB','JJ','interest5'
'tax','and','minority','X','rose','4','NN','CC','NN','X','VBD','AB','interest5'
'tax','X','minority','and','extraordinary','items','NN','X','NN','CC','JJ','NNS','interest5'
'at','par','plus','accrued','to','the','IN','NN','CC','VBN','TO','DT','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'huge','amounts','of','and','the','dollar','JJ','NNS','IN','CC','DT','NN','interest6'
'economy','slows','X','rates','will','fall','NN','VBZ','X','NNS','MD','VB','interest6'
'payments','to','minority','rose','to','1X475','NNS','TO','NN','VBD','TO','AB','interest5'
'payment','of','base','plus','a','participation','NN','IN','JJ','CC','DT','NN','interest6'
'a','pooling','of','and','is','subject','DT','NN','IN','CC','VBZ','JJ','interest5'
'supply','or','reduces','rates','X','NULL','NN','CC','VBZ','NNS','X','NULL','interest6'
'bundesbank','to','raise','rates','this','week','NP','TO','VB','NNS','DT','NN','interest6'
'NULL','NULL','higher','rates','abroad','make','NULL','NULL','JJR','NNS','RB','VBP','interest6'
'will','cut','uXsX','rates','as','part','MD','VB','NP','NNS','IN','NN','interest6'
'are','high','X','rates','have','risen','VBP','JJ','X','NNS','VBP','VBN','interest6'
'seeking','to','postpone','payments','because','it','VBG','TO','VB','NNS','IN','PP','interest6'
'who','have','expressed','in','a','lower','WP','VBP','VBN','IN','DT','JJR','interest1'
'instead','of','paying','on','the','X','RB','IN','VBG','IN','DT','X','interest6'
'of','the','insurance','of','france','Xs','IN','DT','NN','IN','NP','POS','interest5'
'fears','that','higher','rates','are','coming','NNS','IN','JJR','NNS','VBP','VBG','interest6'
'concerns','that','uXkX','rates','may','be','NNS','WDT','NP','NNS','MD','VB','interest6'
'meeting','is','damping','in','stock','trading','NN','VBZ','VBG','IN','NN','NN','interest1'
'NULL','NULL','NULL','rates','moved','higher','NULL','NULL','NULL','NNS','VBD','RBR','interest6'
'in','west','german','rates','X','NULL','IN','JJ','JJ','NNS','X','NULL','interest6'
'back','taxes','and','because','he','had','JJ','NNS','CC','IN','PP','VBD','interest6'
'break','from','cash','payments','X','NULL','NN','IN','NN','NNS','X','NULL','interest6'
'a','20','%','to','call','a','DT','AB','NN','TO','VB','DT','interest5'
'who','have','lost','in','the','franchise','WP','VBP','VBN','IN','DT','NN','interest1'
'likelihood','of','an','rate','increase','in','NN','IN','DT','NN','NN','IN','interest6'
'NULL','without','an','rate','increase','in','NULL','IN','DT','NN','NN','IN','interest6'
'additional','gains','in','rates','that','would','JJ','NNS','IN','NNS','WDT','MD','interest6'
'82','%','working','in','the','acreage','AB','NN','JJ','IN','DT','NN','interest5'
'remaining','60','%','in','aluminum','X','VBG','AB','NN','IN','NN','X','interest5'
'acquire','a','controlling','in','harleyXdavidson','or','VB','DT','VBG','IN','NP','CC','interest5'
'explaining','that','soviet','in','them','is','VBG','IN','JJ','IN','PP','VBZ','interest1'
'in','the','best','of','the','adoptee','IN','DT','JJS','IN','DT','NN','interest4'
'netherlandsXbased','hcs','has','in','software','and','JJ','NP','VBZ','IN','NN','CC','interest5'
'its','principal','or','payments','X','NULL','PPX','NN','CC','NNS','X','NULL','interest6'
'has','nXt','paid','on','its','mediumXterm','VBZ','RB','VBD','IN','PPX','JJ','interest6'
'X','a','security','in','all','its','X','DT','NN','IN','DT','PPX','interest5'
'will','be','paying','on','the','excess','MD','VB','VBG','IN','DT','JJ','interest6'
'of','the','mortgage','deduction','to','15','IN','DT','NN','NN','TO','AB','interest6'
'cir','raised','its','in','olivetti','to','NP','VBD','PPX','IN','NP','TO','interest5'
'dissuade','recent','unwelcome','in','its','stock','VB','JJ','JJ','IN','PPX','NN','interest1'
'of','tax','and','obligations','resulting','from','IN','NN','CC','NNS','VBG','IN','interest6'
'deferred','recognition','of','income','earned','on','VBN','NN','IN','NN','VBN','IN','interest6'
'malato','with','accrued','and','to','end','NP','IN','JJ','CC','TO','VB','interest6'
'X','which','with','and','taxes','totals','X','WDT','IN','CC','NNS','VBZ','interest6'
'the','X','best','of','our','shareowners','DT','X','JJS','IN','PPX','NNS','interest4'
'dexter','reduced','its','in','grafil','in','NP','VBD','PPX','IN','NP','IN','interest5'
'the','rate','of','X','NULL','NULL','DT','NN','IN','X','NULL','NULL','interest6'
'companies','X','equity','in','calabasas','X','NNS','POS','NN','IN','NP','X','interest5'
'half','because','high','rates','will','further','NN','IN','JJ','NNS','MD','RBR','interest6'
'against','swings','in','rates','above','or','IN','NNS','IN','NNS','IN','CC','interest6'
'enough','information','to','potential','foreign','investors','JJ','NN','TO','JJ','JJ','NNS','interest2'
'this','lack','of','is','only','the','DT','NN','IN','VBZ','RB','DT','interest1'
'or','inflationXadjusted','X','rates','X','NULL','CC','JJ','X','NNS','X','NULL','interest6'
'raised','the','overnight','rate','on','government','VBD','DT','JJ','NN','IN','NN','interest6'
'energy','and','engineering','X','said','the','NN','CC','NN','X','VBD','DT','interest5'
'has','allowed','domestic','rates','to','fall','VBZ','VBN','JJ','NNS','TO','VB','interest6'
'after','pushing','up','rates','from','march','IN','VBG','RP','NNS','IN','NP','interest6'
'X','the','X','X','coverage','is','X','DT','X','X','NN','VBZ','interest6'
'a','change','in','rate','policy','X','DT','NN','IN','NN','NN','X','interest6'
'holding','pattern','on','rates','at','its','VBG','NN','IN','NNS','IN','PPX','interest6'
'which','carries','an','rate','of','about','WDT','VBZ','DT','NN','IN','IN','interest6'
'its','debt','and','expense','X','the','PPX','NN','CC','NN','X','DT','interest6'
'big','drop','in','rates','and','the','JJ','NN','IN','NNS','CC','DT','interest6'
'NULL','NULL','as','rates','declined','X','NULL','NULL','IN','NNS','VBD','X','interest6'
'percentageXpoint','drop','in','rates','this','year','JJ','NN','IN','NNS','DT','NN','interest6'
'have','shown','more','in','uXsX','stocks','VBP','VBN','JJR','IN','NP','NNS','interest1'
'it','reaffirmed','its','in','acquiring','cooper','PP','VBD','PPX','IN','VBG','NP','interest1'
'much','in','the','of','health','care','RB','IN','DT','IN','NN','NN','interest4'
'because','of','their','in','funds','attached','IN','IN','PPX','IN','NNS','VBN','interest1'
'tobacco','and','insurance','X','NULL','NULL','NN','CC','NN','X','NULL','NULL','interest5'
'NULL','NULL','as','rates','fell','about','NULL','NULL','IN','NNS','VBD','IN','interest6'
'NULL','its','net','margin','X','the','NULL','PPX','JJ','NN','X','DT','interest6'
'vaX','X','has','in','defense','work','NP','X','VBZ','IN','NN','NN','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','IN','VBP','interest6'
'a','60','%','in','the','kendall','DT','AB','NN','IN','DT','NP','interest5'
'that','manipulates','shortXterm','rates','X','NULL','WDT','VBZ','JJ','NNS','X','NULL','interest6'
'he','traces','his','in','reforming','the','PP','VBZ','PPX','IN','VBG','DT','interest1'
'and','moderate','longXterm','rates','X','NULL','CC','JJ','JJ','NNS','X','NULL','interest6'
'to','raise','shortXterm','rates','for','a','TO','VB','JJ','NNS','IN','DT','interest6'
'immediate','drop','in','rates','once','financial','JJ','NN','IN','NNS','IN','JJ','interest6'
'X','by','raising','rates','high','enough','X','IN','VBG','NNS','JJ','RB','interest6'
'money','and','low','rates','X','and','NN','CC','JJ','NNS','X','CC','interest6'
'prices','of','shortXterm','rate','futures','X','NNS','IN','JJ','NN','NNS','X','interest6'
'a','rise','in','rates','X','X','DT','NN','IN','NNS','X','X','interest6'
'NULL','NULL','higher','rates','hurt','precious','NULL','NULL','JJR','NNS','VBP','JJ','interest6'
'price','changes','plus','payments','X','NULL','NN','NNS','CC','NNS','X','NULL','interest6'
'NULL','by','lowering','rates','just','enough','NULL','IN','VBG','NNS','RB','RB','interest6'
'on','speculation','that','rates','would','continue','IN','NN','IN','NNS','MD','VB','interest6'
'strength','or','if','rates','rise','X','NN','CC','IN','NNS','VBP','X','interest6'
'X','expects','the','rate','on','federal','X','VBZ','DT','NN','IN','JJ','interest6'
'happens','X','real','rates','X','rates','VBZ','X','JJ','NNS','X','NNS','interest6'
'of','a','growing','by','western','businesses','IN','DT','VBG','IN','JJ','NNS','interest1'
'to','protect','its','and','has','already','TO','VB','PPX','CC','VBZ','RB','interest4'
'Xs','in','the','of','the','selfXregulator','VBZ','IN','DT','IN','DT','NN','interest4'
'mrX','sandner','Xs','in','abs','shortly','NP','NP','POS','IN','NP','RB','interest5'
'his','1988','indirect','in','abs','was','PPX','AB','JJ','IN','NP','VBD','interest5'
'never','allow','any','i','have','to','RB','VB','DT','PP','VBP','TO','interest4'
'its','55','%','in','the','business','PPX','AB','NN','IN','DT','NN','interest5'
'recent','expressions','of','in','the','company','JJ','NNS','IN','IN','DT','NN','interest1'
'least','an','equity','in','X','jvcvictor','JJS','DT','NN','IN','X','NP','interest5'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'personal','and','community','X','including','ballet','JJ','CC','NN','X','VBG','NP','interest3'
'german','and','japanese','rates','will','further','JJ','CC','JJ','NNS','MD','RB','interest6'
'X','to','lower','rates','to','relieve','X','TO','VB','NNS','TO','VB','interest6'
'in','west','german','rates','X','NULL','IN','JJ','JJ','NNS','X','NULL','interest6'
'reckons','that','uXsX','rates','are','set','VBZ','IN','NP','NNS','VBP','VBN','interest6'
'germans','will','increase','rates','significantly','X','NPS','MD','VB','NNS','RB','X','interest6'
'resorts','has','suspended','payments','on','its','NPS','VBZ','VBN','NNS','IN','PPX','interest6'
'rumors','of','possible','by','the','bass','NNS','IN','JJ','IN','DT','NP','interest1'
'X','so','his','would','nXt','necessarily','X','RB','PPX','MD','RB','RB','interest1'
'NULL','NULL','NULL','rates','climbed','further','NULL','NULL','NULL','NNS','VBD','RB','interest6'
'longer','steers','market','rates','X','but','RB','VBZ','NN','NNS','X','CC','interest6'
'boost','in','uXkX','rates','X','NULL','NN','IN','NP','NNS','X','NULL','interest6'
'the','government','Xs','was','served','by','DT','NN','POS','VBD','VBN','IN','interest4'
'discuss','their','common','in','cutting','the','VB','PPX','JJ','IN','VBG','DT','interest4'
'also','have','expressed','X','NULL','NULL','RB','VBP','VBN','X','NULL','NULL','interest1'
'the','principal','and','reduction','options','of','DT','NN','CC','NN','NNS','IN','interest6'
'but','not','of','X','on','the','CC','RB','IN','X','IN','DT','interest6'
'is','currently','paying','on','all','its','VBZ','RB','VBG','IN','DT','PPX','interest6'
'tax','and','minority','X','or','profit','NN','CC','NN','X','CC','NN','interest5'
'charges','for','minority','totaled','X','6X5','NNS','IN','NN','VBD','X','AB','interest5'
'pressured','by','high','rates','and','the','JJ','IN','JJ','NNS','CC','DT','interest6'
'of','any','takeover','in','the','company','IN','DT','NN','IN','DT','NN','interest1'
'squeeze','on','net','margins','X','the','NN','IN','JJ','NNS','X','DT','interest6'
'period','Xs','net','margin','narrowed','somewhat','NN','POS','JJ','NN','VBD','RB','interest6'
'X','any','possible','in','marketing','the','X','DT','JJ','IN','VBG','DT','interest1'
'said','american','Xs','in','such','a','VBD','NP','POS','IN','JJ','DT','interest1'
'aware','of','the','of','financial','buyers','JJ','IN','DT','IN','JJ','NNS','interest1'
'to','capitalize','on','in','the','hong','TO','VB','IN','IN','DT','NP','interest1'
'a','lot','of','in','the','hong','DT','NN','IN','IN','DT','NP','interest1'
'has','been','attracting','from','overseas','investors','VBZ','VBN','VBG','IN','JJ','NNS','interest1'
'directly','and','holds','in','105','more','RB','CC','VBZ','IN','AB','JJR','interest5'
'biggest','companies','with','in','brewing','X','JJS','NNS','IN','IN','NN','X','interest5'
'of','protecting','their','X','NULL','NULL','IN','VBG','PPX','X','NULL','NULL','interest4'
'sale','of','an','in','its','showtime','NN','IN','DT','IN','PPX','NP','interest5'
'it','to','lower','costs','significantly','and','PP','TO','VB','NNS','RB','CC','interest6'
'mrX','fu','Xs','in','politics','faded','NP','NP','POS','IN','NNS','VBD','interest1'
'a','12','%','in','enron','oil','DT','AB','NN','IN','NP','NP','interest5'
'possible','mark','iv','X','the','company','JJ','NP','NP','X','DT','NN','interest1'
'amount','plus','accrued','to','the','redemption','NN','CC','JJ','TO','DT','NN','interest6'
'NULL','artra','has','in','fashion','jewelry','NULL','NP','VBZ','IN','NN','NN','interest5'
'merck','have','research','in','angiotensin','ii','NP','VBP','NN','IN','NN','AB','interest3'
'set','tuesday','X','will','be','paid','VBN','NP','X','MD','VB','VBN','interest6'
'X','with','current','bonds','due','in','X','IN','JJ','NNS','JJ','IN','interest6'
'7','%','current','bonds','tentatively','priced','AB','NN','JJ','NNS','RB','VBN','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'in','their','best','X','X','he','IN','PPX','JJS','X','X','PP','interest4'
'securities','X','sparking','in','an','otherwise','NNS','X','VBG','IN','DT','RB','interest1'
'yields','rise','when','rates','fall','and','NNS','VBP','WRB','NNS','VBP','CC','interest6'
'prices','drop','as','rates','soared','X','NNS','VB','IN','NNS','VBD','X','interest6'
'priced','with','an','rate','that','will','VBN','IN','DT','NN','WDT','MD','interest6'
'support','17','%','payments','and','repay','VB','AB','NN','NNS','CC','VB','interest6'
'X','the','annual','payments','were','X','X','DT','JJ','NNS','VBD','X','interest6'
'have','meant','smaller','payments','X','and','VB','VBN','JJR','NNS','X','CC','interest6'
'reserve','should','lower','rates','X','which','NP','MD','VB','NNS','X','WDT','interest6'
'as','revenue','the','from','the','escrow','IN','NN','DT','IN','DT','NN','interest6'
'will','let','uXsX','rates','slip','lower','MD','VB','NP','NNS','VB','RBR','interest6'
'combined','foreign','voting','ca','nXt','exceed','VBN','JJ','NN','MD','RB','VB','interest5'
'by','nervousness','over','rates','and','the','IN','NN','IN','NNS','CC','DT','interest6'
'worries','that','uXkX','rates','will','need','NNS','IN','NP','NNS','MD','VB','interest6'
'in','his','best','X','X','she','IN','PPX','JJS','X','X','PP','interest4'
'payments','to','minority','rose','to','1X91','NNS','TO','NN','VBD','TO','AB','interest5'
'its','majorityXheld','bank','contributed','to','the','PPX','JJ','NN','VBD','TO','DT','interest5'
'showed','that','open','in','copper','X','VBD','IN','JJ','IN','NN','X','interest5'
'the','december','open','declined','by','1X597','DT','NP','JJ','VBD','IN','AB','interest5'
'because','of','high','rates','and','other','IN','IN','JJ','NNS','CC','JJ','interest6'
'X','largely','from','income','associated','with','X','RB','IN','NN','VBN','IN','interest6'
'has','its','own','to','protect','X','VBZ','PPX','JJ','TO','VB','X','interest4'
'change','in','world','rates','X','NULL','NN','IN','NN','NNS','X','NULL','interest6'
'%','exclusion','on','on','bank','loans','NN','NN','IN','IN','NN','NNS','interest6'
'capital','gains','X','rates','X','technology','NN','NNS','X','NNS','X','NN','interest6'
'lower','harcourt','Xs','bill','by','roughly','VB','NP','POS','NN','IN','RB','interest6'
'of','14','%','X','are','much','IN','AB','NN','X','VBP','RB','interest6'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'investors','earned','extra','by','making','federally','NNS','VBD','JJ','IN','VBG','RB','interest6'
'to','pay','the','on','the','securities','TO','VB','DT','IN','DT','NNS','interest6'
'NULL','NULL','the','they','pay','is','NULL','NULL','DT','PP','VBP','VBZ','interest6'
